entry_time,entry_price,exit_time,exit_price,pnl_abs,pnl_pct,reason
2023-03-02 09:00:00+00:00,169.1,2023-03-14 08:00:00+00:00,173.4,2542.874039030168,0.02542874039030168,signal
2023-03-16 11:00:00+00:00,174.13,2023-05-05 11:00:00+00:00,240.43,39043.200762577966,0.3807500143570896,signal
2023-05-19 17:00:00+00:00,230.67,2023-06-03 11:00:00+00:00,245.23,8936.980314351298,0.0631204751376425,signal
2023-06-16 09:00:00+00:00,244.1,2023-06-21 10:00:00+00:00,242.7,-863.3030608863046,-0.0057353543629661,signal
2023-06-30 07:00:00+00:00,239.22,2023-07-03 09:00:00+00:00,240.93,1069.8025918157946,0.007148231753197874,signal
2023-07-05 09:00:00+00:00,240.84,2023-07-22 07:00:00+00:00,245.01,2609.7917408965295,0.017314399601394935,signal
2023-08-04 12:00:00+00:00,267.05,2023-08-09 13:00:00+00:00,264.86,-1257.4917378365644,-0.008200711477251559,signal
2023-08-12 09:00:00+00:00,265.32,2023-08-18 07:00:00+00:00,258.74,-3771.66668022261,-0.024800241218151647,signal
2023-08-21 15:00:00+00:00,260.81,2023-08-25 11:00:00+00:00,260.6,-119.41696819002391,-0.0008051838503124264,signal
2023-08-30 12:00:00+00:00,265.1,2023-09-10 07:00:00+00:00,258.18,-3868.276632707042,-0.026103357223689328,signal
2023-09-13 19:00:00+00:00,257.88,2023-09-23 08:00:00+00:00,252.83,-2826.231567250594,-0.019582751667442104,signal
2023-10-01 12:00:00+00:00,258.95,2023-10-30 07:00:00+00:00,270.8,6475.113783350884,0.045761730063718996,signal
2023-11-14 11:00:00+00:00,281.11,2023-12-05 11:00:00+00:00,275.11,-3158.2948294602684,-0.021343957881256426,signal
2023-12-18 10:00:00+00:00,267.4,2024-01-03 07:00:00+00:00,273.48,3292.6833847167436,0.02273747195213175,signal
2024-01-05 08:00:00+00:00,273.28,2024-01-22 08:00:00+00:00,275.29,1089.331776682462,0.007355093676815221,signal
2024-02-03 12:00:00+00:00,276.49,2024-02-22 19:00:00+00:00,284.25,4187.326673929958,0.028066114506853652,signal
2024-03-06 08:00:00+00:00,298.15,2024-03-15 14:00:00+00:00,299.26,571.0363581613055,0.003722958242495542,signal
2024-03-19 11:00:00+00:00,297.21,2024-03-21 16:00:00+00:00,296.71,-258.99777926207753,-0.001682312169846285,signal
2024-04-09 16:00:00+00:00,306.73,2024-04-26 07:00:00+00:00,309.48,1377.9538061704661,0.008965539725491444,signal
2024-04-28 17:00:00+00:00,309.11,2024-05-01 20:00:00+00:00,308.8,-155.51890573749552,-0.0010028792339296301,signal
2024-05-20 07:00:00+00:00,322.31,2024-05-22 10:00:00+00:00,321.88,-206.6776263229549,-0.0013341193261145188,signal
2024-05-24 10:00:00+00:00,322.11,2024-05-29 15:00:00+00:00,320.35,-845.3322971068847,-0.005463971935053186,signal
2024-06-06 11:00:00+00:00,314.0,2024-06-14 09:00:00+00:00,318.88,2391.27595310795,0.01554140127388528,signal
2024-06-17 08:00:00+00:00,318.35,2024-06-20 16:00:00+00:00,313.67,-2297.0907595637254,-0.01470080100518312,signal
2024-07-01 14:00:00+00:00,327.29,2024-07-07 07:00:00+00:00,325.83,-686.792280903057,-0.004460875676006065,signal
2024-07-26 11:00:00+00:00,295.11,2024-07-30 15:00:00+00:00,291.49,-1880.1316587537585,-0.012266612449595152,signal
2024-08-14 16:00:00+00:00,281.1,2024-08-18 19:00:00+00:00,274.7,-3446.8507640119933,-0.02276769832799732,signal
2024-08-27 08:00:00+00:00,263.42,2024-08-29 04:00:00+00:00,263.0,-235.88575281816884,-0.0015944119656821816,signal
2024-09-06 10:00:00+00:00,250.62,2024-09-13 14:00:00+00:00,257.44,4019.5442863587523,0.027212512967839782,signal
2024-09-16 07:00:00+00:00,258.29,2024-09-27 08:00:00+00:00,269.33,6485.29821564164,0.04274265360641115,signal
2024-10-01 06:00:00+00:00,267.6,2024-10-04 04:00:00+00:00,264.47,-1850.562840909668,-0.011696562032884984,signal
2024-10-16 09:00:00+00:00,260.77,2024-10-21 04:00:00+00:00,257.0,-2260.578736526717,-0.014457184492080956,signal
