entry_time,entry_price,exit_time,exit_price,pnl_abs,pnl_pct,reason
2023-03-13 08:00:00+00:00,171.69,2023-05-18 04:00:00+00:00,233.73,36134.89428621353,0.3613489428621353,signal
2023-05-31 04:00:00+00:00,241.3,2023-06-13 04:00:00+00:00,243.27,1111.4203967834183,0.00816411106506418,signal
2023-06-19 04:00:00+00:00,242.4,2023-06-27 16:00:00+00:00,241.8,-339.71860070049297,-0.002475247524752515,signal
2023-07-13 20:00:00+00:00,246.19,2023-08-21 08:00:00+00:00,261.56,8547.27804453834,0.06243145537999099,signal
2023-09-01 08:00:00+00:00,264.52,2023-09-12 16:00:00+00:00,262.05,-1358.2000192548148,-0.009337668229245468,signal
2023-10-11 20:00:00+00:00,260.21,2023-12-05 16:00:00+00:00,278.87,10333.289569376444,0.071711310095692,signal
2023-12-28 04:00:00+00:00,270.81,2024-01-30 04:00:00+00:00,275.59,2725.7872544435086,0.017650751449355514,signal
2024-02-20 08:00:00+00:00,287.35,2024-03-28 04:00:00+00:00,297.5,5551.14223752814,0.03532277710109626,signal
2024-04-11 08:00:00+00:00,305.75,2024-05-07 12:00:00+00:00,308.39,1404.8848993163265,0.008634505314799607,signal
2024-05-21 08:00:00+00:00,319.49,2024-06-07 08:00:00+00:00,318.52,-498.25488974992186,-0.0030360887664716684,signal
2024-06-18 08:00:00+00:00,316.3,2024-06-24 04:00:00+00:00,316.99,356.9163483817829,0.002181473284856086,signal
2024-07-04 12:00:00+00:00,324.17,2024-07-11 04:00:00+00:00,289.04,-17769.21495073315,-0.10836906561372123,stop_loss
2024-09-12 16:00:00+00:00,254.79,2024-10-14 20:00:00+00:00,261.28,3724.0058773859346,0.025471957298166942,signal
2024-11-14 08:00:00+00:00,253.06,2024-11-20 04:00:00+00:00,239.66,-7938.768229183945,-0.05295186912194736,stop_loss
2025-01-09 12:00:00+00:00,271.8,2025-03-04 04:00:00+00:00,312.9,21470.207863946212,0.15121412803532,signal
2025-03-13 04:00:00+00:00,316.4,2025-03-30 12:00:00+00:00,299.22,-8875.374248156877,-0.05429835651074572,stop_loss
2025-04-16 04:00:00+00:00,297.03,2025-05-06 16:00:00+00:00,303.12,3169.3566362536512,0.020502979497020575,signal
2025-05-15 04:00:00+00:00,303.51,2025-05-28 08:00:00+00:00,304.89,717.2565003374184,0.0045468024117820294,signal
2025-06-02 08:00:00+00:00,305.1,2025-06-17 04:00:00+00:00,312.81,4004.5226752230374,0.02527040314650924,signal
2025-06-20 08:00:00+00:00,311.54,2025-07-14 12:00:00+00:00,316.56,2617.9835234408965,0.01611350067407065,signal
2025-07-18 08:00:00+00:00,306.7,2025-07-23 04:00:00+00:00,313.3,3552.625171690801,0.02151940006521027,signal
2025-08-14 04:00:00+00:00,316.18,2025-08-26 04:00:00+00:00,313.07,-1658.7916550048103,-0.009836169270668632,signal
2025-09-11 04:00:00+00:00,307.78,2025-09-17 12:00:00+00:00,304.3,-1888.0424506089475,-0.011306777568392996,signal
2025-10-21 12:00:00+00:00,293.59,2025-10-29 12:00:00+00:00,291.4,-1231.5082314411702,-0.007459382131544022,signal
2025-11-12 12:00:00+00:00,297.66,2025-12-24 08:00:00+00:00,302.77,2813.087068572262,0.01716723778808016,signal
2026-01-26 04:00:00+00:00,305.01,2026-02-09 20:00:00+00:00,301.81,-1748.682706309657,-0.010491459296416438,signal
